,city,country,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
0,La Rioja,ES,42.25,-2.5,,9.16,29,5,1.81
1,Codrington,AU,-38.2667,141.9667,,8.12,78,3,3.43
2,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,,17.28,69,4,1.69
3,Bathsheba,BB,13.2167,-59.5167,,27.34,74,40,10.29
4,Saint-François,FR,46.4154,3.9054,,11.04,83,0,0
5,Mana,GF,5.6592,-53.7767,,25.7,87,85,3.75
6,Savannah Bight,HN,16.45,-85.85,,28.89,77,17,10.36
7,São Paulo de Olivença,BR,-3.3783,-68.8725,,23.4,99,100,0.62
8,Saint George,US,37.1041,-113.5841,,16.87,40,1,2.24
9,Salta,AR,-24.7859,-65.4117,,11.39,68,0,1.03
10,Barranca,PE,-10.75,-77.7667,,15.95,85,84,2.61
11,Le Lorrain,MQ,14.8329,-61.0567,,26.53,36,43,7.44
12,Hamilton,US,39.1834,-84.5333,,16.73,74,75,4.12
13,The Valley,AI,18.217,-63.0578,,27.92,69,53,6.76
14,Huarmey,PE,-10.0681,-78.1522,,16.53,88,39,3.27
15,Talara,PE,-4.5772,-81.2719,,18.07,85,29,7.24
16,Tucumã,BR,-0.1833,-50.05,,25.64,90,23,2.18
17,Mosquera,CO,4.7059,-74.2302,,11.05,100,75,1.03
18,Carora,VE,10.1755,-70.0827,,22.89,86,83,1.96
19,Tulum,MX,20.2167,-87.4667,,26.08,93,80,2.56
20,Barcelos,PT,41.5388,-8.6151,,15.45,66,43,0.78
21,Grand-Santi,GF,4.25,-54.3833,,23.3,98,77,0.96
22,Tarauacá,BR,-8.1614,-70.7656,,22.16,99,88,2.32
23,Porto de Moz,BR,-1.7483,-52.2383,,24.04,88,81,1.23
24,Iracoubo,GF,5.4802,-53.2011,,25.85,86,92,4.6
25,Pedernales,DO,18.0384,-71.744,,25.74,65,68,2.06
26,Aripuanã,BR,-9.1667,-60.6333,,21.29,99,84,1.08
27,Boa Vista,BR,2.8197,-60.6733,,25.99,83,75,3.6
28,San Cristobal,VE,7.7669,-72.225,,18.07,92,100,0.72
29,Reconquista,AR,-29.15,-59.65,,14.18,62,0,3.29
30,Palmital,BR,-22.7889,-50.2175,,17.09,86,100,5.25
31,Bull Savanna,JM,17.8868,-77.5902,,24.26,87,93,3.4
32,San Ignacio,BZ,17.1561,-89.0714,,24.08,100,0,0
33,Ivaiporã,BR,-24.2478,-51.6847,,15.53,83,70,4.41
34,Alta Floresta,BR,-9.8756,-56.0861,,20.91,98,100,2.31
35,Riberalta,BO,-10.9833,-66.1,,19.28,98,100,2.1
36,Cockburn Town,TC,21.4612,-71.1419,,28.07,76,25,8.41
37,Barra do Garças,BR,-15.89,-52.2567,,21.86,89,100,0.8
38,Itaituba,BR,-4.2761,-55.9836,,24.18,85,61,0.85
39,Falmouth,GB,50.1544,-5.0711,,13.87,88,20,5.66
40,Porto Walter,BR,-8.2686,-72.7439,,23.07,90,13,1.02
41,Cartagena,CO,10.3997,-75.5144,,28.79,79,40,1.54
42,La Paz,BO,-16.5,-68.15,,5.44,89,49,2
43,Sinnamary,GF,5.3833,-52.95,,26.08,86,71,4.56
44,Firminópolis,BR,-16.5819,-50.305,,19.06,85,100,2.79
45,Copiapó,CL,-27.3667,-70.3333,,10.83,81,3,1.18
46,Iquique,CL,-20.2208,-70.1431,,14.02,75,2,0.84
47,Parintins,BR,-2.6283,-56.7358,,23.91,87,99,1
48,Uyuni,BO,-20.4597,-66.825,,-0.3,50,0,0.92
49,Calama,CL,-22.4667,-68.9333,,8.64,16,0,3.38
50,Diego de Almagro,CL,-26.3667,-70.05,,10.8,68,0,0.92
51,San Felipe,VE,10.3399,-68.7425,,22.66,96,81,1.38
52,Pozo Colorado,PY,-23.4923,-58.7972,,14.76,63,0,1.81
53,Coquimbo,CL,-29.9533,-71.3436,,11.85,93,75,0
54,Road Town,VG,18.4167,-64.6167,,27.18,70,16,7.16
55,Manaus,BR,-3.1019,-60.025,,26.27,89,0,3.6
56,Carauari,BR,-4.8828,-66.8958,,23.42,93,100,0.39
57,Antofagasta,CL,-23.65,-70.4,,15.6,84,31,0.61
58,San Ramon,US,37.7799,-121.978,,12.4,95,90,0.45
59,Mozarlândia,BR,-14.7447,-50.5706,,23.42,82,100,2.65
60,Eirunepé,BR,-6.6603,-69.8736,,22.91,92,78,0.26
61,Chunhuhub,MX,19.55,-88.6833,,23.91,100,70,1.15
62,Lebu,CL,-37.6167,-73.65,,11.51,93,81,2.23
63,Cachoeira do Sul,BR,-30.0392,-52.8939,,12.65,75,0,1.29
64,Maués,BR,-3.3836,-57.7186,,24.53,87,99,1.04
65,Morant Bay,JM,17.8815,-76.4093,,25.43,82,87,3.89
66,Acarí,PE,-15.4311,-74.6158,,16.54,76,45,0.88
67,George Town,MY,5.4112,100.3354,,29.97,74,20,0.45
68,Englewood,US,39.6478,-104.9878,,8.45,50,40,7.72
69,Jipijapa,EC,-1.3333,-80.5833,,19.96,90,100,1.87
70,Esmeraldas,BR,-19.7625,-44.3139,,21.21,81,100,3.18
71,Baranoa,CO,10.7941,-74.9164,,26.36,94,40,1.54
72,Portobelo,PA,9.55,-79.65,,24.07,85,71,1.39
73,Olmos,PE,-5.9847,-79.7453,,18.82,79,21,1.22
74,Yara,CU,20.2753,-76.9533,,23.47,91,78,1.5
75,Sicuani,PE,-14.2694,-71.2261,,9.17,70,93,0.53
76,Oriximiná,BR,-1.7656,-55.8661,,24.22,85,87,1.26
77,Chicama,PE,-7.8447,-79.1469,,16.7,88,55,1.83
78,Manicoré,BR,-5.8092,-61.3003,,23.14,95,98,1.19
79,Tubualá,PA,9.5167,-79.0333,,24.06,85,39,1.01
80,La Asuncion,VE,11.0333,-63.8628,,25.69,85,100,6.17
81,Rosário Oeste,BR,-14.8361,-56.4275,,21.38,95,100,1.29
82,Puerto Quijarro,BO,-17.7833,-57.7667,,20.69,77,100,0.7
83,Almeirim,BR,-1.5233,-52.5817,,24.18,88,73,1.41
84,Puerto Colombia,CO,10.9878,-74.9547,,27.05,88,56,3.76
85,Santarém,BR,-2.4431,-54.7083,,24.07,100,40,1.54
86,Pucara,PE,-15.9803,-71.4606,,0.4,19,0,0.78
87,El Alto,PE,-4.2714,-81.2147,,17.59,81,80,6.3
88,Doctor Juan León Mallorquín,PY,-25.4,-55.2667,,13.85,87,0,1.16
89,Sabana Grande de Boyá,DO,18.945,-69.7933,,24,96,49,0.99
90,Kralendijk,BQ,12.15,-68.2667,,26.99,78,75,5.66
91,Taltal,CL,-25.4,-70.4833,,13.4,88,60,1.42
92,São Pedro do Sul,BR,-29.6206,-54.1789,,9.36,74,0,2.64
93,Santiago de Cao,PE,-7.9589,-79.2392,,16.32,90,79,4.02
94,Parrita,CR,9.5201,-84.3225,,25.72,87,38,1.52
95,Paita,PE,-5.0892,-81.1144,,17.41,87,16,5.47
96,Vallenar,CL,-28.5708,-70.7581,,13.63,73,0,1.71
97,Puerto Escondido,MX,15.85,-97.0667,,25.06,85,91,1.71
98,Pedro Juan Caballero,PY,-22.5472,-55.7333,,13.47,82,36,2.17
99,Fort Myers Beach,US,26.452,-81.9481,,24.37,95,75,0.89
100,Rincon,US,32.296,-81.2354,,20.55,96,90,2.57
101,Guayaramerín,BO,-10.8368,-65.3614,,20.27,99,100,1.89
102,Piranhas,BR,-16.4269,-51.8222,,22.04,80,100,2.27
103,Nicoya,CR,10.1483,-85.452,,23.07,95,11,0.78
104,Nagua,DO,19.3832,-69.8474,,24.14,91,46,1.27
105,Marsh Harbour,BS,26.5412,-77.0636,,26.67,82,100,6.31
106,Riohacha,CO,11.5444,-72.9072,,25.72,78,49,5.54
107,Laguna de Perlas,NI,12.3429,-83.6712,,25.15,90,32,1.71
108,Jagüey Grande,CU,22.5269,-81.1286,,23.67,92,97,1.09
109,Chirilagua,SV,13.2203,-88.1386,,21.93,97,36,1.24
110,Solano,US,38.2333,-121.9511,,13.24,95,20,3.6
111,Warrington,GB,53.3925,-2.5802,,11.76,88,20,1.34
112,Manicaragua,CU,22.1494,-79.9736,,22.25,94,97,1.07
113,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,,23.05,99,100,0.76
114,Sechura,PE,-5.5569,-80.8222,,17.42,84,6,5.4
115,Lucea,JM,18.451,-78.1736,,25.92,80,70,1
116,Key West,US,24.5557,-81.7826,,28.64,79,1,3.6
117,Lima,PE,-12.0432,-77.0282,,15.02,86,90,2.57
118,Cerro Blanco,HN,14.6667,-87.7833,,17.01,96,33,1.17
119,Tonantins,BR,-2.8731,-67.8022,,23.22,97,100,0.56
120,Fonte Boa,BR,-2.4959,-66.2662,,22.25,99,100,1.1
121,Villamontes,BO,-21.25,-63.5,,15.64,49,0,2.11
122,Pisco,PE,-13.7,-76.2167,,13.03,88,2,1.03
123,San Andrés,CO,12.5847,-81.7006,,26.01,94,20,1.54
124,Santo Antônio do Içá,BR,-3.1022,-67.9397,,23.19,98,100,0.62
125,Vilhena,BR,-12.7406,-60.1458,,19.13,96,99,1.81
126,Resistencia,AR,-27.4606,-58.9839,,11.16,92,0,1.03
127,Gemeente Wageningen,NL,51.9667,5.6667,,10.26,89,90,4.12
128,Mabaruma,GY,8.2,-59.7833,,22.85,99,79,1.5
129,Chilca,PE,-12.5211,-76.7372,,15.54,87,94,0.84
130,San Pedro de Macorís,DO,18.4616,-69.2972,,23.07,92,27,3.02
